id,group,part,quantity_one_servo,quantity_two_servos,unit,buy_quantity,amazon_url,purchase_url,source_url,verification_date,listing_status,fit_status,notes
pico,Reuse,Existing headered Pico W or Pico 2 W,1,1,board,Reuse existing,,https://www.raspberrypi.com/documentation/microcontrollers/pico-series.html,https://www.raspberrypi.com/documentation/microcontrollers/pico-series.html,2026-09-05,Reuse existing; reference/specification only,specified; physical bench verification pending,Use existing soldered headers for breadboard. Final headerless board is a later CAD choice.
servo,Reuse,Existing MG90S 180-degree servo,1,2,servo,Reuse existing,,https://towerpro.com.tw/product/mg90s-3/,https://towerpro.com.tw/product/mg90s-3/,2026-09-05,Reuse existing; reference/specification only,existing servo; dimensions and current unverified,"Reuse matching horn and shaft screw. Actual brand, connector polarity, dimensions and loaded current need checking."
battery_charger_kit,Amazon,Panasonic K-KJ17MCA4BA: four AA eneloop NiMH cells + charger,1,1,kit,1 kit total (includes all four cells and charger),https://www.amazon.com/dp/B00JHKSMJU,https://www.amazon.com/dp/B00JHKSMJU,https://www.panasonic.com/ca/consumer/batteries/rechargeable/eneloop/kkj17mca4ba.html,2026-09-05,Amazon title/variant checked; price and checkout stock not verified,specified; physical bench verification pending,Four matched 1.2 V AA NiMH cells. Remove cells to charge; no in-circuit charging. Do not also order four charger kits.
breadboard,Amazon,"ELEGOO 830-point breadboard, 3-pack",1,1,board used,1 three-board pack; use one,https://www.amazon.com/dp/B01EV6LJ7G,https://www.amazon.com/dp/B01EV6LJ7G,https://us.elegoo.com/products/elegoo-3pcs-breadboard-830-point-solderless-prototype-pcb-board-kit,2026-09-05,Amazon title/variant checked; price and checkout stock not verified,specified; physical bench verification pending,630 terminal holes = 63 rows × 10; side rails unused. Confirm a-e/f-j rows and centre trench before build.
junctions,Amazon,Genuine WAGO 221-415 five-port lever connectors,3,3,block,1 ten-pack; use three,https://www.amazon.com/dp/B06XH47DC2,https://www.amazon.com/dp/B06XH47DC2,https://www.wago.com/us/wire-splicing-connectors/compact-splicing-connector/p/221-415,2026-09-05,Amazon title/variant checked; price and checkout stock not verified,bench-only junctions; not fitted to old STL,"One +5 V block and two linked GND blocks. One conductor per port, 24–12 AWG. Strip 11 mm. Do not solder-tin clamped wire ends. Factory tinned copper wire is acceptable."
wire_solid,Amazon,"TUOFENG 22 AWG solid tinned-copper wire, six colors",1,1,shared set,1 six-color set or reuse equivalent,https://www.amazon.com/dp/B07TX6BX47,https://www.amazon.com/dp/B07TX6BX47,https://www.amazon.com/dp/B07TX6BX47,2026-09-05,Amazon title/variant checked; price and checkout stock not verified,specified; physical bench verification pending,Listing verified 6 colors × 30 ft. Allow at least 1 m total per build for breadboard links and WAGO-to-breadboard pigtails; supplied extension leads additional. Trim after physical layout; drawing is not a cable-length template.
wire_stranded,Amazon,"BNTECHGO 22 AWG stranded tinned-copper silicone wire, ten colors",1,1,shared set,1 set or reuse equivalent,https://www.amazon.com/dp/B01M0O1NXM,https://www.amazon.com/dp/B01M0O1NXM,https://bntechgo.com/bntechgo-22-gauge-silicone-wire-kit-ultra-flexible-10-colors-each-10-ft-high-temp-200-c-600v-22-awg-silicone-wire-60-strands-of-tinned-copper-wire-stranded-wire-for-model-battery/,2026-09-05,Amazon title/variant checked; price and checkout stock not verified,specified; physical bench verification pending,Manufacturer: 60 × 0.08 mm tinned-copper strands; about 1.7 mm insulated diameter. Allow at least 2 m total per build (1 m red and 1 m black); supplied holder/RCY/servo-extension leads additional. Keep motor power off breadboard and cut short after dry fit.
holder,Pololu,Pololu 1153 four-AA holder,1,1,holder,1,,https://www.pololu.com/product/1153,https://www.pololu.com/product/1153,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,58×63×16 mm bare holder; included 6-inch24 AWG leads. Loaded holder and cell-removal clearance still require measurement.
regulator,Pololu,Pololu 2574 S18V20F5 regulated 5 V step-up/step-down board,1,1,board,1,,https://www.pololu.com/product/2574,https://www.pololu.com/product/2574,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,Direct-solder power leads to labelled pads; do not need optional header/terminal blocks. ENABLE left disconnected. Output capability varies with input voltage and temperature.
master,Pololu,Pololu 2810 LV mini MOSFET slide switch,1,1,board,1 (not two),,https://www.pololu.com/product/2810,https://www.pololu.com/product/2810,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,"Physical master only: use VIN,VOUT,GND and slider. ON/control pads unused. There is no Pico enable wire and no second servo gate."
rcy_female,Pololu,Pololu 2180 JST RCY female pigtail,1,1,pigtail,1,,https://www.pololu.com/product/2180,https://www.pololu.com/product/2180,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,100mm20 AWG leads. Recessed contacts on fused battery side. Check red/black continuity through mated connector.
rcy_male,Pololu,Pololu 2181 JST RCY male pigtail,1,1,pigtail,1,,https://www.pololu.com/product/2181,https://www.pololu.com/product/2181,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,Mate to 2180; routes pack+ to MASTER VIN and pack− to GND_A. Do not substitute an unspecified JST family.
servo_extension,Pololu,Pololu 2169 12-inch twisted22 AWG servo extension,1,2,extension,1 or2,,https://www.pololu.com/product/2169,https://www.pololu.com/product/2169,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,"Cut to retain the end with male contacts that mates with servo socket, about100–150 mm wire. Red/ground ends go to WAGO; signal gets a soldered insulated 22AWGsolid pigtail for breadboard. Leave original servo lead intact."
fuse_holder,Specialist,Littelfuse 01500274Z inline fuse holder,1,1,holder,1,,https://www.digikey.com/en/products/detail/littelfuse-inc/01500274Z/29453,https://www.digikey.com/en/products/detail/littelfuse-inc/01500274Z/29453,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,Fits 5×20 mm fuse. Retain existing specified holder with wire leads; solder/insulate inline close to pack positive. No exposed fuse clips.
fuse,Specialist,SCHURTER 0001.2507 SPT5×20mm2 A time-lag fuse,1,1,fuse installed,"3 (one fitted, two spares)",,https://www.digikey.com/en/products/detail/schurter-inc/0001-2507/639706,https://www.digikey.com/en/products/detail/schurter-inc/0001-2507/639706,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,Exact fuse has DC rating.2 A is provisional pending measured pack-current pulses and wire/holder coordination; do not uprate to mask a fault.
D1,Amazon alternative,"1N5819 Schottky diode DO-41,1A40 V; CHANZON100-pack option",1,1,diode,1 small pack; Amazon selected listing is100pcs,https://www.amazon.com/dp/B079KG1TN2,https://www.amazon.com/dp/B079KG1TN2,https://www.vishay.com/docs/88525/1n5817.pdf,2026-09-05,Amazon title/variant checked; price and checkout stock not verified,specified; physical bench verification pending,"Amazon title verifies CHANZON DO-41/1 A/40 V; Vishay reference describes a different manufacturer, not certification of these parts. Stripe toward Pico VSYS. See doc for traceable Vishay fallback. Check actual lead diameter; use 22AWGsolid adapters if too thick for breadboard."
C1,Specialist,Panasonic EEUFR1A471 / EEU-FR1A471470uF10 V radial capacitor,1,1,capacitor,"2 (one fitted, one spare)",,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1A471/9921021,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEU-FR1A471/9921021,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,"8 mm diameter,11.5 mm body,13 mm max seated height,3.5 mm lead pitch. Positive to P5 V and negative stripe to GND_A. Solder22 AWG power pigtails and individually insulate. Baseline bulk capacitor, not proof of brownout immunity."
R_PWM,Specialist,"Yageo MFR-25FBF52-1K,1 kOhm1%, 1/4 W axial",1,2,resistor,10 shared spares,,https://www.digikey.com/en/products/detail/yageo/MFR-25FBF52-1K/13011,https://www.digikey.com/en/products/detail/yageo/MFR-25FBF52-1K/13011,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,One resistor per servo signal. Not the removed servo-gate bleeder. Brown-black-black-brown-brown for 5-band1% code; verify1 kOhm with meter.
jumpers,Optional tools,Adafruit1957 male/male 150 mm jumper wire20-pack,0,0,optional pack,0 if using selected solid wire; otherwise1,,https://www.adafruit.com/product/1957,https://www.adafruit.com/product/1957,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,Optional convenient breadboard-only logic jumpers. Do not route servo current through these. Do not clamp their thin stripped wires inWAGO; use 22AWGsolid pigtails.
heat_shrink,Shared consumable,Adafruit344 heat-shrink assortment or equivalent thin-wall2:1 assortment,1,1,shared pack,1 if not in existing soldering kit,,https://www.adafruit.com/product/344,https://www.adafruit.com/product/344,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,Need small sizes covering individual22 AWG solder splices and larger pieces for16/20 AWG fuse/RCY joins. Fit before soldering; leave no exposed conductor. Amazon search alternative inshoppingdoc.
usb,Shared tool,"USB-C to Micro-B DATA cable, Adafruit3879 reference",1,1,cable,Reuse existing or1,,https://www.adafruit.com/product/3879,https://www.adafruit.com/product/3879,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,Programming cable forMac. Must carry data; charge-only cable cannot upload firmware. Removed for portable battery use.
meter,Shared tool,"Digital multimeter with DC volts, continuity, resistance, diode mode",1,1,meter,Reuse existing or1,,https://www.adafruit.com/product/850,https://www.adafruit.com/product/850,2026-09-05,Manufacturer/distributor fallback; no verified Amazon exact listing,specified; physical bench verification pending,"Check polarity,1k resistors and output voltage before Pico/servo connection. Voltage measurement across source; never meter-current mode directly across batteries."
solder_tools,Reuse/tools,"Soldering iron, electronics solder/flux, wire stripper/cutter, heat source",1,1,tool set,Reuse kit; fill missing tools,,,,2026-09-05,Generic existing tools/consumables; no specific listing selected,specified; physical bench verification pending,"Bench still needs soldering for boards and harness. Wire stripper must handle24/22/20/16 AWG leads. Flux for electronics, not plumbing."
strain_relief,Shared consumable,Small nylon cable ties and nonconductive bench base,1,1,set,Reuse stock or small pack,,,,2026-09-05,Generic existing tools/consumables; no specific listing selected,specified; physical bench verification pending,"Secure holder, modules and wires so tugs do not load solder pads. Cable-tie count/length depends on bench base; not an enclosure-fit claim."
