id,category,part,quantity_one_gang,quantity_two_gang,unit,purchase_url,source_url,stl_files,fit_status,notes
pico,Electronics / harness,Raspberry Pi Pico W (headerless),1,1,piece,https://www.raspberrypi.com/products/raspberry-pi-pico/,https://www.raspberrypi.com/products/raspberry-pi-pico/,electronics_pod.stl;coupon_pico_mount.stl,nominal geometry; physical fit pending,"Official Pico W STEP includes the actual board, USB socket and major components. Direct solder five wires for one gang or six for two gangs. No carrier or headers."
battery_holder,Electronics / harness,Pololu 1153,1,1,piece,https://www.pololu.com/product/1153,https://www.pololu.com/product/1153,electronics_pod.stl;coupon_battery_holder.stl,nominal geometry; physical fit pending,Published bare-holder dimensions; loaded height and lead exits require measurement. Includes 6-inch 24 AWG leads. The loaded reserve is not a measurement.
regulator,Electronics / harness,Pololu 2574 S18V20F5,1,1,piece,https://www.pololu.com/product/2574,https://www.pololu.com/product/2574,electronics_pod.stl;retainer_regulator.stl;coupon_regulator_cradle.stl,nominal geometry; physical fit pending,Envelope excludes optional terminal blocks. Direct solder harness keeps height down; preserve airflow. ENABLE unused.
power_switch,Electronics / harness,Pololu 2810 Mini MOSFET Slide Switch LV,2,2,piece,https://www.pololu.com/product/2810,https://www.pololu.com/product/2810,electronics_pod.stl;retainer_master.stl;retainer_servo_gate.stl;coupon_master_cradle.stl;coupon_servo_gate_cradle.stl,nominal geometry; physical fit pending,"No mounting holes; electrical through holes are not screw holes. One master, one GP15 servo gate. Physical gate slider OFF; master ON pin unused. Cable bend space additional."
discrete_board,Electronics / harness,Adafruit 1608 quarter Perma-Proto,1,1,piece,https://www.mouser.com/en/ProductDetail/Adafruit/1608?qs=GURawfaeGuCPUqYJerHUuQ%3D%3D,https://www.adafruit.com/product/1608,electronics_pod.stl;retainer_proto.stl;coupon_proto_cradle.stl,nominal geometry; physical fit pending,Exact 1608 board selected. Manufacturer was out of stock when researched; Mouser lists this part but live stock is unverified. Direct-wire the motor power; PCB bus current rating is not established.
fuse_holder,Electronics / harness,Littelfuse 01500274Z,1,1,piece,https://www.digikey.com/en/products/detail/littelfuse-inc/01500274Z/29453,https://www.littelfuse.com/assetdocs/fuse-holder-150-datasheet?assetguid=662e5ae4-2c3a-4d7a-8642-e7d9db02703d,electronics_pod.stl,nominal geometry; physical fit pending,Length tolerance ±1 mm. The cylindrical holder includes a 330 mm loop of 16 AWG wire to cut and trim. Two short ties positively retain it. A 70 mm service envelope is provisional.
fuse,Electronics / harness,SCHURTER 0001.2507 SPT 5x20 2A time-lag,1,1,piece,https://www.digikey.com/en/products/detail/schurter-inc/0001-2507/639706,https://www.schurter.com/en/datasheet/SPT_5x20,electronics_pod.stl,standard 5×20 holder interface; verify actual assembly,"Ceramic, explicit DC rating; buy two spares. Fuse time-current coordination still needs measured input pulse and wiring validation."
battery_connector_female,Electronics / harness,Pololu 2180 JST RCY female pigtail,1,1,piece,https://www.pololu.com/product/2180,https://www.pololu.com/product/2180,electronics_pod.stl,allowance only; measure and route actual item,"100 mm, 20 AWG prewired lead. The 25×10×10 mm allowance covers the mated 2180/2181 shells; actual dimensions and cable bends need checking. Recessed contacts belong on the fused battery side."
battery_connector_male,Electronics / harness,Pololu 2181 JST RCY male pigtail,1,1,piece,https://www.pololu.com/product/2181,https://www.pololu.com/product/2181,electronics_pod.stl,allowance only; measure and route actual item,Matches 2180. JST RCY is rated 3 A with 22 AWG wiring; thicker wire does not increase the connector rating.
servo_extension,Electronics / harness,Pololu 2169 12-inch twisted servo extension,1,2,piece,https://www.pololu.com/product/2169,https://www.pololu.com/product/2169,electronics_pod.stl,allowance only; measure and route actual item,"Purchased length 300 mm, 22 AWG. Cut to retain the male end with roughly 100 mm lead, trimmed after dry fit; solder to the component board. The original servo remains detachable. Unused female half is a spare."
bulk_capacitor,Electronics / harness,Panasonic EEUFR1A471,1,1,piece,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ast-ind-152838.pdf,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ast-ind-152838.pdf,electronics_pod.stl;retainer_proto.stl,component body space only; board wiring not pad-routed,"470 µF, 10 V polarized radial capacitor. C1 sits on unswitched regulated 5 V. Nominal can is Ø8×11.5 mm; reserve 13 mm maximum seated height above the PCB. Observe polarity."
adc_capacitor,Electronics / harness,KEMET C315C104K5R5TA,1,1,piece,https://search.kemet.com/component-documentation/download/specsheet/C315C104K5R5TA,https://search.kemet.com/component-documentation/download/specsheet/C315C104K5R5TA,electronics_pod.stl;retainer_proto.stl,component body space only; board wiring not pad-routed,"100 nF, 50 V X7R radial. Buy three: one installed for ADC filtering and two spares for bench bypassing if needed."
